rating,name,elite,reviewer_location,n_friends,n_reviews,n_photos,review_photos,date,updated,text,n_useful,n_funny,n_cool,business_location
4,Danny W.,True,"Encinitas, CA",4953,2241,3405,1,11/12/2014,False,"They call it a kiosk, but that's the same thing as a janitor being referred to as a custodial technician. It's a fluff word for vending machine and no matter how good the salad might be your customer service is still coming from a robot instead of a real person. To me there's no substitute.

That being said, if you told me before yesterday that I'd ever enjoy eating a full meal from something that could potentially be a transformer I'd call you crazy. The greens are pretty good though. They're served in jars and similar to the old Mac Deezy's marketing ploy buzzfeed.com/briangalind� (#6) are easy to take to go and distribute dressing all over each bite.

Overall it's a great idea if you've got to eat your lunch on the L, but for a fresh made meal there's other options in this food court that I think are better.
This is it",9,6,3,The Loop 1
5,Sarah F.,False,"Cambridge, MA",19,50,212,4,11/9/2016,False,"My go to healthy choice on the go whenever I m in Chicago

Very convenient, easy to use and order, fast to grab. Fun to eat and I wish if they exist in Boston

I highly recommend the protein salad, the green one salad and the wild orange pudding",3,2,4,The Loop 1
5,Alex R.,False,"Chicago, IL",318,103,73,1,5/15/2016,False,"I love Farmer's Fridge. Their machines are located throughout Chicago and offer some of the freshest, tastiest and healthiest salads I've had, and definitely the best salads I've had from a vending machine.

The machines are stocked with fresh salads daily, and day-old salads are donated to charity. There are silverware and plates on the side of the machines, and little bags to carry the loot with you back to the office. And the machines are very easy to use. Have a problem? Call up the customer hotline and an employee will walk you through your issue.

For salads, I like the Cheater and the Southwest salads. Cheater is like a turkey Cobb with some of the best honey mustard dressing I've ever had -- like lick the jar good. Dressings come in the jar, which is recyclable -- or very easy to reuse for your own homemade salads. They also provide sides of grilled chicken and tofu which you can add to make your salad heartier. My favorite snack is the chocolate trail mix, which has dark chocolate, cashews, almonds, dried cherries with some salt sprinkled in. Amazing!
Southwest salad with chicken",5,3,2,The Loop 1
5,Livvy O.,False,"Chicago, IL",77,228,241,4,12/4/2015,False,"Who would have thought you could get the freshest salad from a vending machine! I couldn't believe it when my friend posted the most freshest salad on FB and she said she got it from a vending machine! Shortly after, I was searching for one of those vending machines. Unfortunately, they only have them in the downtown area. Luckily, I'm downtown for work once a week and I found one in Printers Row on Dearborn near Congress at the 7/11, but for some reason is not listed when I mapped it.

They are kind of expensive, ranging from $7-10 for a salad but are worth it. They are so unbelievably fresh and delicious. I love all their selections of salads. My fav so far is the north napa salad.

They stock the vending machine every morning and whatever is left over, they donate which is even a better reason to buy these salads. They also have some other items like yogurt, fruit, and nut mix. All very healthy and fresh.

It's a pretty simple machine, very easy to maneuver. They have utensils and brochures on the side. Oh and you get a nice, reusable jar (BPA free) to take home to use for whatever!",6,4,4,The Loop 1
5,Robert G.,True,"Carol Stream, IL",203,572,234,0,8/1/2015,False,"As it turns out, salad from a vending machine isn't as crazy as it sounds.

I decided to try this place at the same time that Farmer's Fridge decide to go on sale for a week after the Taste of Chicago. And with that, I decided to make it salad week in the office.

I started my week of with the Cheater salad, moved on a shrimp and succotash, and had a third mediterranean salad before calling it for the week.

Everything about the salad is top-notch. The greens aren't bruised, the jar isn't dropped from on high like in regular vending machines. The shrimp and succotash was my favorite, as the shrimp was cooked perfectly and the perfect temperature coming out of the vending machine (cold!)

The quality of the salad that comes out of the machine ensures that Farmer's Fridge isn't just a novelty; it very well may be the best option for salad in the Loop, at a competitive price (roughly $8 for the cheapest salads). And I felt like the portion size in the jars was huge, or at least large enough to be worth the price.

On sale, these salads are the best deal in the Loop, so I'm hoping they have sales every now and then. The next best thing they could do would be to support remote ordering, so I don't have to spend so much time in front of a touch screen whenever I'm there.",6,1,2,The Loop 1
4,Sho A.,False,"Streamwood, IL",1151,19,12,0,3/14/2019,False,Got the avocado toast this morning and it was absolutely delicious! The catch for this tasty $7 treat is that it comes with only one slice of toast.. Could be a dealbreaker for some. I think it's overpriced for what it's worth but the service was quick and you can't deny the quality taste! I'm still open to trying other things from this location.,0,0,0,The Loop 1
3,Nawel K.,True,"Chicago, IL",30,80,0,0,12/8/2017,False,"I really like the Southwest Salad- I got it with chicken a few times but the chicken had a weird rubbery consistency. I wish that the chicken was more fresh, but it still hasn't stopped me from going there and getting just the salad. I also really like the avocado dressing its so tangy and goes so well with all of the sweet corn and beans in the salad.",0,1,0,The Loop 1
4,Kimberly O.,False,"Chicago, IL",103,112,262,0,2/10/2017,False,"Never thought the best thing I'd eat out of a vending machine would be a salad but it's 2017 ya'll and sh** a changin'

Super yummy, fresh, crispy lettuce. Great variety, awesome flavors, tasty extras and enough dressing to coat the entire thing and not make me regret getting a salad.

Done.

It's not cheap but eating healthy never is. They do run out of choices as another reviewer mentioned but when it's all there it's all good.",5,4,3,The Loop 1
2,Rabia H.,False,"Chicago, IL",120,48,32,0,10/20/2018,False,"This is an ok salad place if you need something quick. The salads were premade apart from the protein so you can't customize anything. I normally like dressing and vinaigrette on the side but it was already mixed in. I got chicken as my protein, which was an extra $3, and extremely bland. Picture shredded chicken breast with no seasoning. There's so many good places in Revival food hall that I don't see myself coming back here.",0,1,0,The Loop 1
4,Ann P.,True,"New York, NY",48,109,63,0,1/31/2017,False,"Finally got to try the avocado toast at Revival Food Hall today. The flavors were spot-on and all complemented each other without masking the star ingredient, the avocado. The bread was a little hard, cutting the roof of my mouth, but still one of the better avocado toasts I've had in Chicago thus far.",3,0,0,The Loop 1
5,Kym K.,False,"Buffalo Grove, IL",34,34,59,1,7/25/2016,False,"Our Corporate Office just brought in a Farmer's Fridge Machine within the last two weeks. I was skeptical about the idea of salads in a vending machine. Questions like how fresh was it really? or how often do they add food? came to mind. I signed up on their website and I was able to try a free salad! I was not happy with how high the prices were for one salad. I tried the Southwest Salad during lunch, and OMG, was it AMAZING! The salad had a LOT of busting flavor! I was completely full after having one! The jar was cute that they put the salads in, and honestly the avocados were super fresh tasting! I was completely blown away. I'm completely happy to have this salad everyday for lunch! It's convenient, and I can take it on the go! Can't wait to try my next salad!
Southwest Salad",6,3,2,The Loop 1
1,Dan C.,False,"Chicago, IL",3,13,0,0,8/28/2016,False,"A friend and I were intrigued by the idea of a salad vending machine, and after seeing all the great reviews we really wanted to try it. It was a little difficult to find, but that was probably my fault as I should have noted how the other reviews mention that it's located down by where the CTA trains are.

We did find the machine without too much difficulty. However, the problem was that even though the machine is listed as being ""open"" until 9pm every day, there was no food inside the machine by the time we got there -- at 2pm on a Sunday. So, admittedly, I'm writing this review without having eaten the food, but it was really disappointing to find it completely empty at lunch time. I thought I would write this as a warning to others! We ended up getting sandwiches at the Which Wich right across from here, which was fine but wasn't what we came for.",3,2,3,The Loop 1
5,Lisa L.,False,"Arlington, VA",0,7,0,0,9/23/2018,False,"Tried the Cauliflower bowl and the Noodle bowl with tahini dressing. I'm hooked. These meals were a big find for healthy, fresh, and convenient food.

Found this machine at the Chicago Ohara airport, Terminal 1, United Airlines, near Gate 20. This happened to be the gate for my flight back to Washington, DC.

Hopefully, Farmer's Fridge is coming to Arlington, VA.",0,0,0,The Loop 1
4,Anna P.,False,"Chicago, IL",69,121,13,2,2/21/2014,False,"The fact that a salad vending machine exists is wonderful. Even more wonderful is the fake grass you stand on while ordering.

I tried the High Protein salad and added chicken. It was so fresh and tasty...I ate it in under 5 minutes! I just couldn't stop myself!

My only negative would be the price, which I find to be a little bit high. I can't imagine their operating costs are very much, so they should consider dropping their prices by a dollar or two across the board. I would come again though, regardless!
High Protein",5,0,0,The Loop 1
5,Courtney C.,False,"Chicago, IL",0,58,27,1,4/3/2016,False,"When it comes to mind-blowing salads and snacks, the Farmer's Fridge changed my life. I'm not kidding! I'll never get over the Southwest salad, oatmeal, vegetables with hummus, and many more of their items. Everything they offer is insanely addictive, but that's OK because the ingredients are top quality and healthy! I sincerely hope this business succeeds and do my best to help them because they're THAT amazing.
The thought of this legendary Saint Patrick's Day-themed salad still makes my mouth water over a year later.",2,1,1,The Loop 1
4,DeWitt K.,False,"Phoenix, AZ",86,76,15,0,11/25/2015,False,"First... I have had a salad for lunch for the past two day.  I mention this as it would make my mom very happy.

I just tried the Avocado B.L.T. Salad and I must admit it was quite good.  The spinach was very fresh and turkey was quite tasty.  I was also very happy to see that the avocado was in perfect shape too.  To be honest I was prepared for the brown mushy stuff you end up picking out.  I thought there were too many tomatoes but apparently the T in BLT stands for tomato.  The buttermilk ranch dressing was good as well.  Just wish there was a bit more of it.  Looking forward to trying again.",2,1,2,The Loop 1
3,Tavi J.,True,"Chicago, IL",550,872,2149,1,6/9/2015,False,"I met up with a friend for lunch and as we walked into Block 37 we noticed a crowd. Apparently the crowd gathering was for the special offer today for a $1.00 per salad. I found it hilarious the salad kiosk was right next to the normal vending machine. Several people were getting salads and then moving right over to the vending machine to grab their M&Ms. I was a little worried about the concept of getting a ""fresh"" salad out of a vending machine, but hey it was pretty fresh. We both went with the High Protein salad (Spinach, Quinoa, broccoli, chickpeas. Corn, peas, dried figs, parmesan, pumpkin seeds, & lemon-tahini dressing). It was pretty good for a $1.00, but I'm not sure how I would feel about paying regular price (whatever that is) with so many food options in the area. Size was decent, but I did think the carbs and sugar percentages were quite high for a salad. If they keep having deals like this I would buy again, but not likely for full price. Just in case you're wondering Kiosk machine was pretty easy to use. I can only see it being slowed down for those not sure regarding selection. They had a woman there showing us the salads as we waited, but I'm sure she won't be there on a daily basis so you might have to deal with slow people at the kiosk reading over everything.
High Protein salad with lemon tahini salad dressing",3,1,2,The Loop 1
5,Mindy W.,False,"McFarland, WI",27,17,0,0,7/3/2018,False,"Had the North Napa salad. It was amazing. At first I was put off by the $8 price tag, but I would definitely buy again on days when I forget to bring a lunch. The ingredients are high quality, expensive items (avocado, feta, dried cherries, and pistachios), and the salad was super tasty, which can be very difficult for a salad. Worth it!",2,0,1,The Loop 1
4,Mingyang J.,False,"Malden, MA",0,13,0,0,4/16/2015,False,"Bought the 2-Day cleanse package from Gilt.  The food is delicious and the deliver guys was very nice!  Fresh ingredients, healthy tastes!

My only suggestion is to improve the nutritional labels.  FDA does exempts small local food companies from extensive labeling, but since healthy food is their specialty, a detailed nutritional fact is necessary.  Some of their newer items don't have a nutrition breakdown, only a calorie count.  Please improve the label!!",3,1,1,The Loop 1
5,Patrick R.,False,"Chicago, IL",43,72,59,0,12/4/2014,False,"Stumbled across the vending machine at Block 37 this afternoon (must be a new location).  Been hoping to try a salad and today was my day.  Saw them on the morning news a few months ago.
I had the Buffalo Chicken with a side of Lemon Pepper Chicken.  The salad was fresh, the amount in the salad was perfect.  The dressing of hot sauce, was just right - not to spicy not to hot, it was just right with enough of a bit.
At Block 37 there was a Representative from Farmer's Fridge to help explain: who, what they are and how to use the machine.  Even scored a coupon 20% off my next visit. Can't wait to use it.",5,0,1,The Loop 1
5,Karma K.,False,"Aiken, SC",252,597,0,0,11/28/2016,False,"Love this concept.  I've grabbed these several times on my way back to the office after power shopping at lunch.  Fresh, tasty and cute to boot.  What's not to love?",2,3,2,The Loop 1
5,Velynne J.,False,"New Orleans, LA",0,2,1,1,7/10/2015,False,"Love their toast in the taste of Chicago.

The bread if fantastic, the best ever had in Chicago.
The topping kimchi add sour flavor to avocado, very interesting looking.",1,0,0,The Loop 1
4,Julia L.,False,"Chicago, IL",88,40,0,0,4/2/2015,False,"Today was my first time trying Farmer's Fridge, and I MIGHT be a fan. I think I need a couple more tries before I make my final decision on this place.

The Cheater salad I got tasted kind of fresh, but was possibly not made this morning (maybe yesterday?). Also, the vending machine in Block 37 was pretty empty at 9am, so I'm curious when they refill it. My salad was missing the cucumbers which were listed as one of the ingredients.

The portion size is pretty good for lunch, however there were maybe two slices of egg and a tablespoon of chopped turkey bacon. They're a little stingy on the proteins, but that may be because they are trying to keep the calories low.

The honey mustard dressing was GOOD.",1,1,0,The Loop 1
4,Roserry Y.,False,"Chicago, IL",537,202,118,0,10/4/2016,False,"LOVE the concept of to-go salads and snacks in jars. I've tried the Blood Orange Chia Pudding, Cheater Salad with chicken, and Southwest Salad with chicken. The portions are big and will fill you up, not to mention you'll feel great after eating it since the food is so healthy! Only docked a star since it's on the pricier side",3,1,1,The Loop 1
5,Ashley J.,False,"Chicago, IL",182,2,1,1,2/6/2016,False,"OMG I've found heaven in a jar!!!!! This salad and its freshness was to die for...and the first one was free..... I can eat one of these daily! These guys should put a kiosk in my apartment building!
The avocado BLT with chicken (chicken was separate) is amazing can wait to try more. We need a kiosk at 1401 s state st... ASAP!",0,0,0,The Loop 1
4,Grant M.,False,"Uptown, Chicago, IL",30,94,1,0,2/7/2015,False,"So glad I finally tried Farmers Fridge! I am always looking for something healthy for lunch when I don't bring my own to work. I feel like most places in the loop are unhealthy or overpriced, or both. I also just can't seem to find anything at Freshii that I really like.

Enter Farmers Fridge! It's quick, easy and so fresh! I had the protein salad and added on chicken. It was hearty and filling- it's amazing how much fits in that jar. I will definitely be back.

My only complaint is that it is a little costly. For close to same money you could go to Soprafina or Cafe bacci and get a made to order salad. But this is faster and more efficient. I will definitely be back.",1,0,0,The Loop 1
5,Sofia J.,False,"Chicago, IL",165,466,199,0,2/7/2014,False,"Love the concept!!
Such a hard decision because they all sound so good, but the Napa Cabbage one was delicious and well balanced in flavor and consistency (pistachios and dried cherries mmmmm). Delicious dressing and plentiful amount for one person.
Soups looked great (carrot ginger and lentil chili!), will have to try them next time.",8,1,1,The Loop 1
5,Melanie S.,False,"Chicago, IL",684,890,583,0,12/20/2013,False,"Fantastic concept. Great execution.

After weeks and weeks of eating fat-laden, calorie-bomb lunches and dinners (not to mention all the holiday sweets and treats in the office), my body needed something healthy, like a salad. And not a salad I typically go for (disguised as healthy but loaded with fried chicken, cheese or tortilla strips), but one that wouldn't make me hate myself after eating it.

Farmer's Fridge was just the ticket I needed. It's a kiosk/vending machine that offers several varieties of salads daily. The salads come in a recyclable jar, are layered with the respective ingredients, and dressings are included, but packaged separately, so no soggy greens! The food is stored at the perfect temperature. Best of all, the salads are crazy-fresh, super-crunchy, and full of goodness. The salads are delivered to the kiosks around 10:00 am daily and any salads left at the end of the day are donated to a local food pantry.

So far I've tried the ""Cheater,"" a healthy take on a Cobb salad, and the Mediterranean salad. Both were absolutely delicious and chock full of fresh ingredients. Their salads average around 250 calories sans dressing, but their dressings are light, vinaigrette-type ones, so they won't add a lot of calories, and are quite flavorful, so a little goes a long way. For a slight upcharge, proteins can be added to all salads (the lemon-pepper chicken is a favorite) and there's other kinds of snack-like options like veggies and hummus, vegetable pasta salad, or greek yogurt and berries.

My only minor quibbles would be that since the salads are pre-packaged, there is no way to customize. I get it; given their concept, that would be difficult. It's just that some of the salads come with nuts and those of us with food allergies are forced to skip those, and other than the nuts, those salads sound really good! Also, sometimes I get to the kiosk after the initial rush, and they're sold out of a lot of the salads. Again, I understand; they're trying to find a balance between having enough to sell and not a lot left over. I imagine as time goes on, they'll figure it out. I always manage to find something tasty even if my first choice is sold out.

I'm really hoping they add more kiosks in the Loop. Right now, the only one is at 201 N Clark. The kiosks are user-friendly and accept credit cards.

If you'd told me a month ago that I'd ever entertain the thought the eating a salad from a vending machine, I'd have laughed in your face, but now I'm a big fan. Try it for yourself. After all the gluttony of the holiday season, you'll be glad to do something good for yourself.

Use promo code ""holiday2013"" through the end of December to save 10%.

You're welcome. ;)",27,12,18,The Loop 1
4,Tammy H.,False,"Chicago, IL",25,113,0,0,1/16/2014,False,"This needs more reviews! A coworker and I went on an adventure to experience Farmer's Fridge. Very easy to see in a crowded food court.

Pros are that the salad was delicious even though it wasn't the one I wanted, and it comes with a recyclable jar that I am going to put to good use with my own salad in a jar and smoothies. It was also only $8 (North Napa Salad) and that's pretty cheap for the loop area.

Cons include that the machine was practically empty when I got there at 12:35. Only 3 kinds of salad left, a bunch of snacks, and no proteins. The other con is that the jar is pretty tall, so it was tough to get all the goodness at the  bottom of the jar without getting my hand dirty; however, this was fixed by using the lid as makeshift plate.",7,0,1,The Loop 1
5,Cara G.,False,"Lemont, IL",0,5,1,0,1/20/2014,False,"Had the Mediterranean Salad today. Absolutely delicious! I LOVED the dressing, and all the salad and vegetables were super fresh. Cool jar, too!

The kiosk itself was super user-friendly, and very cool to look at!

Can't wait to go back :)",6,0,0,The Loop 1
3,Horace L.,False,"Evanston, IL",16,101,5,0,3/6/2015,False,"I like the idea. It was a bit too hard to find and when I got there in the afternoon there was very little to choose from. I ended up with something that tasted fine, but didn't seem worth the price.

Last time I went the touchscreen was turned off.",0,0,0,The Loop 1
5,Duong P.,False,"Chicago, IL",148,197,179,0,4/8/2016,False,"I love this vending machine that serves delicious salads. They have locations all over the city. If you see the shrimp succotash on the menu, get it! The avocado blt is also amazing. You can supplement it with additional proteins like chicken or tofu. Don't forget to grab paper bowls and utensils from the side box.",2,1,1,The Loop 1
2,Michelle R.,False,"Chicago, IL",14,39,12,0,2/18/2016,False,"I don't know if I picked the wrong kind of salad or what, but this was just not what I was expecting. I used my free salad coupon and got the shrimp and succotash salad. I can't believe this would normally be $12. The salad was mostly yellow romaine stalks and there was SO much asparagus in it. It was a weird flavor. The dressing was also bizarre. Basil yogurt? It wasn't very flavorful. And the shrimp was rubbery. And it was pretty small. Overall, not a fan and probably would not try again.",3,0,0,The Loop 1
5,Jerry V.,False,"Elmhurst, IL",736,36,9,0,12/10/2013,False,"The salad I just had for lunch was pretty freakin' bomb. I work in the former Cabrini Green area so there are not very many healthy lunch options around here so it was great to finally see the Farmer's Fridge in the grocery store below our office.

I just tried the Detox and I loved it. I'll definitely go back down and make this a part of my routine.",4,0,1,The Loop 1
5,Laura C.,False,"Chicago, IL",314,83,139,1,12/16/2013,False,"The touch screen technology is quick, easy, and fun to use. The salads are phenomenal (The Cheater is my go-to favorite) and always fresh. They're the perfect size and the prices are similar to competitors in the area (who don't always use organic ingredients). I haven't had the snacks yet but I'm absolutely planning on it in the coming weeks. I'm absolutely in love with this concept and can't wait for it to grow across the city and suburbs. Be sure to try Farmer's Fridge out when you're in the area.",3,1,1,The Loop 1
3,Suzy D.,False,"Chicago, IL",49,546,14,0,9/23/2016,False,"Good idea, but overpriced for a non made to order salad. I had the napa salad and I enjoyed the combination of grapes, feta, and cabbage. However, if I wanted to add chicken that would be a few additional dollars to buy a protein jar to incorporate with my salad. I'd rather just go to a place that will make my salad to order. I can only see this being my go to option if this were the kiosk next to the train station and I was starving.",0,2,0,The Loop 1
5,Mot F.,False,"Toronto, Canada",0,8,37,1,3/15/2014,False,"This is such a neat concept! Went to search for this vending machine after a little research on yelp lol and wow so impressed the jar thing is just so cute and it was a decent portion for one to eat ( tho I was starving since I didn't have breakfast that morning so I ordered something else after I finished the Mediterranean salad which was delicious with the dressing! Kept the jar to reuse yay go green
Mediterranean salad after adding the dressing lol",2,0,0,The Loop 1
4,Soy L.,False,"Putnam County, NY",4,778,57,0,3/6/2018,False,I had my first avocado toast here and it was delicious. The lentil soup was not much different than your typical lentil soup. Staff was quite pleasant.,0,0,0,The Loop 1
5,Melanie R.,False,"Chicago, IL",34,5,0,0,11/25/2013,False,"I love these salads. They're fast, fresh, and packed with a lot of yummy ingredients. My favorite is the High Protein salad.  There's something about the quinoa and the figs that makes it extra delicious.  Today I tried the Cauliflower Fried Rice.  I prefer the salads, but it was still pretty tasty!

I am also a big fan of the containers these salads come in.  They are convenient and reusable.  I just started using them for storage at work (after cleaning them, of course)!",3,0,0,The Loop 1
4,Christina P.,False,"Chicago, IL",124,4,0,0,11/30/2016,False,"Surprisingly fresh for a VENDING MACHINE! Fun idea, I'm kind of sold on the idea of recycling and returning the salad containers. I walked around for a little bit (not the easiest to find) but once I found it, I was in and out no issue. I got the Cheater salad which was romaine, turkey bacon, white cheddar, egg, tomato, carrot, and honey mustard dressing. Very tasty, although I think they might have better options. I wish they could get some lower calorie dressings, as it seems that the dressing makes up a good 200 calories. Overall, very impressed though!",0,0,0,The Loop 1
4,Shanti N.,True,"Chicago, IL",183,928,203,0,6/18/2015,False,"If I worked near here I would probably be bankrupt as I would be going to this spot every day for my lunch (...and breakfast...and snacks...you get the picture). $8.18 for a salad (with tax) adds up. I went to the location down the escalators, across from the dry cleaners. This pedway location makes it easy for several buildings to access. The concept of salads in a vending machine might raise eyebrows; I'd stopped by the location in North Bridge a couple of times and always thought it looked intriguing. Only today did I sample a salad. By the time I came here, the selection had been depleted, but by no means decimated. Honey mustard dressing is GOOD and the components were all fresh. No soggy tomatoes or brown lettuce leaves here. I am glad I finally got my curiosity satisfied, and no longer have an excuse to hit up unhealthy food purveyors even on the busiest of days. It would be nice to have some kind of rewards program and for the machines to take cash in addition to credit cards.",4,2,2,The Loop 1
5,Ben C.,False,"Naperville, IL",0,19,0,0,9/22/2016,False,"Much fresher than the salad in my corporate caf�, really convenient, and a great variety.

I've started buying the jar of chicken and adding it to salads over the course of two or three days.  Stays fresh and adds even more variety.",0,0,0,The Loop 1
1,Gary F.,False,"Glendale, Los Angeles, CA",24,8,0,0,10/3/2015,False,This is a vending machine! Seriously??? Walked quite a ways for a 4 star breakfast place. Totally uncool. Take this off the list for others.,2,1,0,The Loop 1
5,Chaya C.,False,"Seattle, WA",21,6,3,0,1/21/2015,False,"If you love salads and hate people, you will love Farmer's Fridge.  Also, we should probably be friends.

$1 off salads after 6pm!",9,12,3,The Loop 1
2,Adriane A.,False,"Chicago, IL",4,3,0,0,7/27/2016,False,"I eat these for lunch every day. Unfortunately, the greens in them are not being washed very thoroughly anymore and now taste like chemicals. It's a shame because this was my go to lunch. Also, the machine was out of order once (at the Adams 7/11) and the person fixing it ignored me and then was pretty rude when I asked her if I'd be able to come back to get a salad (there were salads in the machine). Make some improvements and get back up to par, guys!",0,0,0,The Loop 1
5,Jordan M.,False,"Chicago, IL",33,52,3,0,10/16/2015,False,Great salad with healthy ingredients.  It is the freshest salad downtown.  Definitely will be visiting again.,1,0,1,The Loop 1
5,Nathan I.,False,"Edgewater, Chicago, IL",40,31,0,0,12/5/2013,False,"Had the Napa Salad, yesterday, and it was remarkably fresh!  It was packed with flavor, the fruits were fresh and the dried cranberries added a nice tinge of sweetness.  I will be going back to get the other salads, because if the others follow suit to the one I had than I expect a happy tum-tum!

Do yourself a favor, and get something healthy from Farmer's Fridge!  You won't regret it.

:-)",1,0,0,The Loop 1
5,Sam G.,False,"Chicago, IL",14,4,0,0,12/18/2013,False,"So I work here at Groupon, and they just opened up a little fridge/kiosk thing at the convenience mart at 600 W Chicago.  These salads, you guys.  I'm not a health nut-- I tend to think salads are for people that are too afraid to eat bacon or something.

But after trying both their version of the Cobb salad and their thai salad, I have to give props.  These salads aren't health foods-- they taste great, they're filling (especially if you get the chicken or tuna to go along with the salad), and they just happen to be really healthy.  So, you know, if you're like me and are not a huge fan of salads, give these guys a shot.  They do it up right.",1,0,0,The Loop 1
5,Arnie G.,False,"Farmington, MI",2,14,0,0,6/10/2016,False,"Excellent choice for salads. Convenient, reasonable, and healthy. The Southwest was perfect choice for lunch.",0,0,0,The Loop 1
